run_id,timestamp_utc,policy,reward_scheme,alpha,seed,n_agents,n_targets,success,steps,targets_collected,completion_rate,total_distance,distance_per_target,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
9a2785cc9fd8,2026-09-15T02:53:12.654472+00:00,random,weak,0.25,7,6,8,0,180,4,0.5,807,201.75,0.0,11,0.010185185185185186,2.3191738340067047,0.42148713638010854,7.917946769574918,0.48363178573627863,-0.30000000000000093
c85a18bb25eb,2026-09-15T02:53:12.683379+00:00,random,weak,0.25,8,6,8,0,180,4,0.5,809,202.25,0.0,9,0.008333333333333333,2.321490410417531,0.4407463147425484,7.864209617441562,0.49459926600695675,-0.3000000000000011
05da8e3f426f,2026-09-15T02:53:12.704284+00:00,random,weak,0.25,9,6,8,1,128,8,1.0,578,72.25,0.0017301038062283738,13,0.016927083333333332,2.31395085694335,0.4000024616217954,8.509146434628885,0.5962288175665945,1.7199999999999989
26608a1702e0,2026-09-15T02:53:12.735051+00:00,random,weak,0.5,0,6,8,0,180,5,0.625,814,162.8,0.0,13,0.012037037037037037,2.316300929304348,0.41694904238667696,8.98752392438807,0.49547285938084573,1.116666666666667
e4bdaf40639e,2026-09-15T02:53:12.765800+00:00,random,weak,0.5,1,6,8,0,180,7,0.875,795,113.57142857142857,0.0,4,0.003703703703703704,2.32121179815023,0.40264569658787774,8.894266382113338,0.6543818408610214,2.2833333333333523
f197055b71ae,2026-09-15T02:53:12.795280+00:00,random,weak,0.5,2,6,8,0,180,7,0.875,831,118.71428571428571,0.0,1,0.000925925925925926,2.3179954360381143,0.4279429380074318,8.772867048716826,0.4923909402253008,2.283333333333361
27a5d2241acb,2026-09-15T02:53:12.824731+00:00,random,weak,0.5,3,6,8,0,180,7,0.875,799,114.14285714285714,0.0,11,0.010185185185185186,2.3196270760430466,0.431111595229464,8.909210890545385,0.6893716946128071,2.2833333333333408
af59ff289ecb,2026-09-15T02:53:12.853600+00:00,random,weak,0.5,4,6,8,0,180,5,0.625,795,159.0,0.0,7,0.006481481481481481,2.319711591243515,0.43288549154462275,9.835274182601738,0.38670765881578345,1.1166666666666776
03b04ff493cf,2026-09-15T02:53:12.882390+00:00,random,weak,0.5,5,6,8,0,180,6,0.75,839,139.83333333333334,0.0,12,0.011111111111111112,2.3212190480334347,0.43458956907566965,8.146723970396685,0.5225992705919132,1.6999999999999982
6a84f290028e,2026-09-15T02:53:12.911659+00:00,random,weak,0.5,6,6,8,0,180,3,0.375,810,270.0,0.0,7,0.006481481481481481,2.32065167271356,0.4292075776027398,8.863824745624237,0.36571698376395034,-0.05000000000000098
df77f0d8527c,2026-09-15T02:53:12.941440+00:00,random,weak,0.5,7,6,8,0,180,4,0.5,807,201.75,0.0,11,0.010185185185185186,2.3191738340067047,0.42148713638010854,7.917946769574918,0.48363178573627863,0.5333333333333323
f2dd6a295d91,2026-09-15T02:53:12.971451+00:00,random,weak,0.5,8,6,8,0,180,4,0.5,809,202.25,0.0,9,0.008333333333333333,2.321490410417531,0.4407463147425484,7.864209617441562,0.49459926600695675,0.5333333333333321
fb64e279834b,2026-09-15T02:53:12.996646+00:00,random,weak,0.5,9,6,8,1,128,8,1.0,578,72.25,0.0017301038062283738,13,0.016927083333333332,2.31395085694335,0.4000024616217954,8.509146434628885,0.5962288175665945,3.3866666666666743
c964f644bf35,2026-09-15T02:53:13.026522+00:00,random,weak,0.75,0,6,8,0,180,5,0.625,814,162.8,0.0,13,0.012037037037037037,2.316300929304348,0.41694904238667696,8.98752392438807,0.49547285938084573,2.1583333333333563
c82ce10ac38f,2026-09-15T02:53:13.056032+00:00,random,weak,0.75,1,6,8,0,180,7,0.875,795,113.57142857142857,0.0,4,0.003703703703703704,2.32121179815023,0.40264569658787774,8.894266382113338,0.6543818408610214,3.7416666666666982
063412042fd2,2026-09-15T02:53:13.084688+00:00,random,weak,0.75,2,6,8,0,180,7,0.875,831,118.71428571428571,0.0,1,0.000925925925925926,2.3179954360381143,0.4279429380074318,8.772867048716826,0.4923909402253008,3.741666666666699
a99355915b2a,2026-09-15T02:53:13.114031+00:00,random,weak,0.75,3,6,8,0,180,7,0.875,799,114.14285714285714,0.0,11,0.010185185185185186,2.3196270760430466,0.431111595229464,8.909210890545385,0.6893716946128071,3.741666666666692
dba9be31c03b,2026-09-15T02:53:13.145527+00:00,random,weak,0.75,4,6,8,0,180,5,0.625,795,159.0,0.0,7,0.006481481481481481,2.319711591243515,0.43288549154462275,9.835274182601738,0.38670765881578345,2.1583333333333643
967c488230e1,2026-09-15T02:53:13.175260+00:00,random,weak,0.75,5,6,8,0,180,6,0.75,839,139.83333333333334,0.0,12,0.011111111111111112,2.3212190480334347,0.43458956907566965,8.146723970396685,0.5225992705919132,2.95000000000001
ffc0647e2ba1,2026-09-15T02:53:13.205472+00:00,random,weak,0.75,6,6,8,0,180,3,0.375,810,270.0,0.0,7,0.006481481481481481,2.32065167271356,0.4292075776027398,8.863824745624237,0.36571698376395034,0.5749999999999982
ae06247bed04,2026-09-15T02:53:13.235423+00:00,random,weak,0.75,7,6,8,0,180,4,0.5,807,201.75,0.0,11,0.010185185185185186,2.3191738340067047,0.42148713638010854,7.917946769574918,0.48363178573627863,1.3666666666666651
ccd11075e78e,2026-09-15T02:53:13.264098+00:00,random,weak,0.75,8,6,8,0,180,4,0.5,809,202.25,0.0,9,0.008333333333333333,2.321490410417531,0.4407463147425484,7.864209617441562,0.49459926600695675,1.366666666666668
29319828c816,2026-09-15T02:53:13.284549+00:00,random,weak,0.75,9,6,8,1,128,8,1.0,578,72.25,0.0017301038062283738,13,0.016927083333333332,2.31395085694335,0.4000024616217954,8.509146434628885,0.5962288175665945,5.05333333333335
c0327a3fa628,2026-09-15T02:53:13.313466+00:00,random,weak,1.0,0,6,8,0,180,5,0.625,814,162.8,0.0,13,0.012037037037037037,2.316300929304348,0.41694904238667696,8.98752392438807,0.49547285938084573,3.200000000000032
55823b8235da,2026-09-15T02:53:13.342235+00:00,random,weak,1.0,1,6,8,0,180,7,0.875,795,113.57142857142857,0.0,4,0.003703703703703704,2.32121179815023,0.40264569658787774,8.894266382113338,0.6543818408610214,5.200000000000034
f64722a086fe,2026-09-15T02:53:13.372832+00:00,random,weak,1.0,2,6,8,0,180,7,0.875,831,118.71428571428571,0.0,1,0.000925925925925926,2.3179954360381143,0.4279429380074318,8.772867048716826,0.4923909402253008,5.200000000000033
e10a68288d07,2026-09-15T02:53:13.401263+00:00,random,weak,1.0,3,6,8,0,180,7,0.875,799,114.14285714285714,0.0,11,0.010185185185185186,2.3196270760430466,0.431111595229464,8.909210890545385,0.6893716946128071,5.200000000000027
6a8bedd62d2a,2026-09-15T02:53:13.433562+00:00,random,weak,1.0,4,6,8,0,180,5,0.625,795,159.0,0.0,7,0.006481481481481481,2.319711591243515,0.43288549154462275,9.835274182601738,0.38670765881578345,3.2000000000000313
6a6e5fd3c7ff,2026-09-15T02:53:13.463387+00:00,random,weak,1.0,5,6,8,0,180,6,0.75,839,139.83333333333334,0.0,12,0.011111111111111112,2.3212190480334347,0.43458956907566965,8.146723970396685,0.5225992705919132,4.200000000000026
a745470ca794,2026-09-15T02:53:13.495063+00:00,random,weak,1.0,6,6,8,0,180,3,0.375,810,270.0,0.0,7,0.006481481481481481,2.32065167271356,0.4292075776027398,8.863824745624237,0.36571698376395034,1.1999999999999986
aaa0ecae906f,2026-09-15T02:53:13.525320+00:00,random,weak,1.0,7,6,8,0,180,4,0.5,807,201.75,0.0,11,0.010185185185185186,2.3191738340067047,0.42148713638010854,7.917946769574918,0.48363178573627863,2.200000000000001
5ad3aa69524a,2026-09-15T02:53:13.553602+00:00,random,weak,1.0,8,6,8,0,180,4,0.5,809,202.25,0.0,9,0.008333333333333333,2.321490410417531,0.4407463147425484,7.864209617441562,0.49459926600695675,2.2000000000000304
55c8b74839a3,2026-09-15T02:53:13.576598+00:00,random,weak,1.0,9,6,8,1,128,8,1.0,578,72.25,0.0017301038062283738,13,0.016927083333333332,2.31395085694335,0.4000024616217954,8.509146434628885,0.5962288175665945,6.720000000000021
7a86e1317cf1,2026-09-15T02:53:13.579811+00:00,greedy,weak,0.0,0,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.9809256184491058,0.4428668829700513,8.761211795019005,0.20203050891044214,1.2133333333333332
