architecture,metric,replication_unit,n_low,n_high,alpha_low,alpha_high,low_mean,high_mean,difference,bootstrap_ci_low,bootstrap_ci_high,standardized_effect,welch_p,spearman_rho,spearman_p
independent,completion_rate,train_seed_policy_mean,3,3,0.0,1.0,0.9,0.26666666666666666,-0.6333333333333333,-0.8444444444444446,-0.3555555555555555,-3.282700017209168,0.046301586202921415,-0.9746794344808964,0.0048182304681985335
independent,coordination_efficiency,train_seed_policy_mean,3,3,0.0,1.0,0.01234610142469221,0.0,-0.01234610142469221,-0.019214929214929215,-0.008183421516754849,-2.9134062766039306,0.07035478543896989,-0.9746794344808964,0.0048182304681985335
independent,collision_rate,train_seed_policy_mean,3,3,0.0,1.0,0.03430952380952381,0.04755555555555555,0.013246031746031742,-0.0288968253968254,0.05835714285714285,0.38153567537099653,0.6667751863489297,0.7,0.1881204043741873
shared,completion_rate,train_seed_policy_mean,3,3,0.0,1.0,0.9666666666666667,0.24444444444444444,-0.7222222222222222,-0.8333333333333334,-0.6000000000000001,-7.825080450574999,0.0026983737654216254,-0.8999999999999998,0.03738607346849874
shared,coordination_efficiency,train_seed_policy_mean,3,3,0.0,1.0,0.025811267949851186,0.0,-0.025811267949851186,-0.02912321248013867,-0.021793317793317793,-9.824163050500795,0.00683669273422887,-0.9746794344808964,0.0048182304681985335
shared,collision_rate,train_seed_policy_mean,3,3,0.0,1.0,0.03812962962962963,0.12666666666666668,0.08853703703703705,0.055722222222222235,0.12135185185185188,3.4322664914565264,0.020806222177839093,0.7999999999999999,0.10408803866182788
